"filename", "language", "Markdown", "JSON with Comments", "JSON", "TypeScript", "TypeScript JSX", "Skill", "comment", "blank", "total"
"d:\VSProject\Agent\my_agent\vivlos\agent\prompt\docs\prompt-system.md", "Markdown", 93, 0, 0, 0, 0, 0, 0, 31, 124
"d:\VSProject\Agent\my_agent\vivlos\agent\prompt\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\VSProject\Agent\my_agent\vivlos\agent\prompt\templates\environment.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 1, 7
"d:\VSProject\Agent\my_agent\vivlos\agent\prompt\templates\identity.md", "Markdown", 4, 0, 0, 0, 0, 0, 0, 3, 7
"d:\VSProject\Agent\my_agent\vivlos\agent\prompt\templates\rules.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\VSProject\Agent\my_agent\vivlos\agent\prompt\types.ts", "TypeScript", 0, 0, 0, 9, 0, 0, 2, 2, 13
"d:\VSProject\Agent\my_agent\vivlos\agent\session\index.ts", "TypeScript", 0, 0, 0, 2, 0, 0, 0, 1, 3
"d:\VSProject\Agent\my_agent\vivlos\agent\session\manager.ts", "TypeScript", 0, 0, 0, 75, 0, 0, 9, 10, 94
"d:\VSProject\Agent\my_agent\vivlos\agent\session\types.ts", "TypeScript", 0, 0, 0, 14, 0, 0, 14, 4, 32
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\extension\tavily\tavily-cli\SKILL.md", "Skill", 0, 0, 0, 0, 0, 54, 0, 23, 77
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\extension\tavily\tavily-crawl\SKILL.md", "Skill", 0, 0, 0, 0, 0, 72, 0, 29, 101
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\extension\tavily\tavily-extract\SKILL.md", "Skill", 0, 0, 0, 0, 0, 57, 0, 24, 81
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\extension\tavily\tavily-map\SKILL.md", "Skill", 0, 0, 0, 0, 0, 60, 0, 25, 85
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\extension\tavily\tavily-research\SKILL.md", "Skill", 0, 0, 0, 0, 0, 71, 0, 30, 101
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\extension\tavily\tavily-search\SKILL.md", "Skill", 0, 0, 0, 0, 0, 68, 0, 24, 92
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\index.ts", "TypeScript", 0, 0, 0, 24, 0, 0, 8, 6, 38
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\registry.ts", "TypeScript", 0, 0, 0, 134, 0, 0, 53, 27, 214
"d:\VSProject\Agent\my_agent\vivlos\agent\skills\types.ts", "TypeScript", 0, 0, 0, 18, 0, 0, 50, 7, 75
"d:\VSProject\Agent\my_agent\vivlos\agent\test\builder.test.ts", "TypeScript", 0, 0, 0, 39, 0, 0, 0, 8, 47
"d:\VSProject\Agent\my_agent\vivlos\agent\tools\builtin\bash.ts", "TypeScript", 0, 0, 0, 146, 0, 0, 12, 26, 184
"d:\VSProject\Agent\my_agent\vivlos\agent\tools\builtin\find.ts", "TypeScript", 0, 0, 0, 70, 0, 0, 3, 9, 82
"d:\VSProject\Agent\my_agent\vivlos\agent\tools\builtin\grep.ts", "TypeScript", 0, 0, 0, 79, 0, 0, 6, 12, 97
"d:\VSProject\Agent\my_agent\vivlos\agent\tools\builtin\index.ts", "TypeScript", 0, 0, 0, 43, 0, 0, 9, 7, 59
"d:\VSProject\Agent\my_agent\vivlos\agent\tools\builtin\ls.ts", "TypeScript", 0, 0, 0, 64, 0, 0, 2, 7, 73
"d:\VSProject\Agent\my_agent\vivlos\agent\tools\builtin\read-file.ts", "TypeScript", 0, 0, 0, 58, 0, 0, 7, 9, 74
